token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix
3.242424242424242,3.0,1.6335553905386127,4.125,3.0,3.018174116912409,1.2727272727272727,1.0,0.7496555682941201,33,30,0.9090909090909091,126,8,94.97539772727276,1.0369318181818201,5.985473137389441,4.074242424242424,-4.095681818181816,-3.91030303030303,13.215909090909092,0.375
3.2142857142857144,3.0,1.5665508713900935,4.0,4.0,2.5634797778466227,1.1785714285714286,1.0,0.6008072800450257,28,24,0.8571428571428571,107,7,103.06785714285715,-0.122857142857141,5.288315135182226,3.0285714285714285,-4.290714285714287,-4.300000000000001,7.571428571428571,0.14285714285714285
3.5714285714285716,4.0,1.4982983545287878,5.0,3.0,3.5050983275386565,1.2571428571428571,1.0,0.8398250546685182,35,25,0.7142857142857143,135,7,95.40571428571431,1.1942857142857157,6.868970318607317,5.428571428571429,-2.1085714285714268,-0.7200000000000006,7.857142857142858,0.14285714285714285
3.477272727272727,4.0,1.6785902684265146,5.5,1.5,6.461423991660043,1.3068181818181819,1.0,0.7885250117877531,88,52,0.5909090909090909,340,16,90.69568181818182,1.9754545454545465,6.6274283507984215,4.927272727272727,-2.302045454545457,-0.7354545454545516,11.181818181818182,0.3125
3.0,2.5,1.4832396974191326,10.0,10.0,0.0,1.0,1.0,0.0,10,10,1.0,35,1,112.08500000000001,0.11000000000000121,,4.0,-2.3000000000000007,-1.120000000000001,10.0,0.0
4.975903614457831,5.0,2.3309127619803447,13.833333333333334,13.5,3.55512150128359,1.3734939759036144,1.0,0.6345635702295755,166,117,0.7048192771084337,850,12,76.5965763052209,6.01222891566265,8.841846274778883,8.424899598393575,8.923172690763053,11.318554216867469,38.532128514056225,3.4166666666666665
3.238095238095238,3.0,1.4443572274383905,5.25,5.5,2.8613807855648994,1.1428571428571428,1.0,0.63887656499994,21,19,0.9047619047619048,74,4,104.82053571428575,-0.05678571428571466,5.985473137389441,4.004761904761906,-3.5535714285714306,-2.398095238095239,5.25,0.0
3.5714285714285716,3.0,2.155202533216699,8.75,8.0,3.960744879438715,1.2857142857142858,1.0,0.7395530917454163,35,31,0.8857142857142857,135,4,89.18232142857144,2.9939285714285724,8.841846274778883,8.071428571428573,-0.23357142857142676,1.8171428571428585,17.32142857142857,0.75
3.6486486486486487,4.0,1.8190614778879828,9.25,10.5,5.673402858955108,1.1891891891891893,1.0,0.6079579394163238,37,32,0.8648648648648649,145,4,96.84084459459461,2.049932432432435,7.168621630094336,5.8621621621621625,0.3801351351351343,2.454054054054051,14.655405405405405,0.5
3.357142857142857,3.5,1.5859716650838942,7.0,5.5,6.363961030678928,1.1071428571428572,1.0,0.5567306167185675,28,26,0.9285714285714286,103,4,106.06571428571431,0.20428571428571551,5.985473137389441,4.228571428571429,-2.11785714285714,-0.28857142857143003,10.571428571428571,0.25
4.118055555555555,4.0,2.1327360094025862,9.6,10.0,8.317050759333704,1.3472222222222223,1.0,0.8106876748618049,144,94,0.6527777777777778,614,15,83.11600000000001,4.051222222222226,8.238735603445708,7.173333333333332,2.7660416666666663,5.330833333333331,23.488888888888887,1.3333333333333333
3.75,4.0,2.2107690969434146,5.0,4.5,4.06201920231798,1.45,1.0,0.8645808232895291,20,20,1.0,83,4,79.09000000000003,3.469999999999999,8.07648339933343,8.0,-1.2674999999999983,0.33000000000000185,20.0,0.75
3.2972972972972974,4.0,1.4862407659316235,12.333333333333334,8.0,7.586537784494029,1.1081081081081081,1.0,0.5085104789791021,37,28,0.7567567567567568,129,3,100.57072072072073,2.295675675675678,6.42735559955562,6.014414414414415,0.2669369369369363,1.188108108108107,12.333333333333334,0.0
3.5416666666666665,3.0,1.5540046832476262,6.0,6.0,2.5495097567963922,1.2083333333333333,1.0,0.6441510347391795,24,23,0.9583333333333334,94,4,98.52000000000002,1.0083333333333329,5.985473137389441,4.066666666666666,-1.7487500000000011,0.09166666666666146,10.166666666666666,0.25
3.638888888888889,3.5,1.9741774345812684,9.0,9.5,5.431390245600108,1.25,1.0,0.5951190357119042,36,32,0.8888888888888888,138,4,91.95000000000002,2.6700000000000017,5.985473137389441,4.711111111111111,0.20916666666666828,2.307777777777776,17.333333333333332,0.75
2.923076923076923,3.0,1.517160224870463,6.5,2.5,7.88986691902975,1.1538461538461537,1.0,0.6007884366082041,26,25,0.9615384615384616,89,4,102.62211538461541,0.560384615384617,5.985473137389441,4.138461538461539,-4.412307692307692,-3.1661538461538488,10.346153846153847,0.25
3.769230769230769,4.0,1.7388699316088174,10.4,12.0,6.280127387243033,1.2115384615384615,1.0,0.5992475558031878,52,46,0.8846153846153846,210,5,93.78284615384617,2.762153846153847,7.554174236665414,6.467692307692308,1.5230769230769212,3.5169230769230744,21.93846153846154,1.2
4.252631578947368,4.0,2.388430099029515,7.6,9.0,5.184592558726288,1.394736842105263,1.0,0.8188397981036637,190,125,0.6578947368421053,858,25,81.12626315789477,3.831894736842102,8.238735603445708,7.2505263157894735,2.399894736842107,5.3107368421052605,23.915789473684214,1.24
4.328282828282828,4.0,2.1575116795236333,15.23076923076923,15.0,6.669723165213958,1.297979797979798,1.0,0.6412550506591888,198,118,0.5959595959595959,885,13,81.56667832167834,5.666161616161617,9.466822959209587,9.324630924630924,6.571596736596732,7.706868686868681,31.897435897435894,2.5384615384615383
3.6,3.0,1.781385228784985,9.545454545454545,9.0,6.972199814114186,1.3333333333333333,1.0,0.7766431633476233,105,65,0.6190476190476191,400,11,84.34636363636366,3.866060606060607,8.00094639256281,6.865800865800866,0.2987272727272732,2.2670476190476165,15.259740259740258,0.5454545454545454
3.5185185185185186,4.0,1.7923783159352389,5.4,7.0,2.33238075793812,1.2962962962962963,1.0,0.6562979683951612,27,24,0.8888888888888888,106,5,91.68733333333336,1.8122962962962994,5.683917801722854,3.641481481481482,-2.1577777777777776,-0.5925925925925952,9.103703703703705,0.2
3.8181818181818183,3.0,2.289032420366213,11.0,11.0,0.0,1.0909090909090908,1.0,0.28747978728803447,11,11,1.0,44,1,103.37909090909093,1.572727272727274,,4.4,2.0536363636363646,3.9599999999999973,20.090909090909093,1.0
4.5,3.0,2.8284271247461903,8.0,8.0,0.0,1.5,1.0,0.7071067811865476,8,8,1.0,41,1,71.81500000000001,5.230000000000004,,8.200000000000001,3.7650000000000006,6.960000000000001,45.5,3.0
3.904494382022472,4.0,1.7277906989582508,8.090909090909092,8.0,5.938388906927312,1.2415730337078652,1.0,0.6894565501565113,178,99,0.5561797752808989,756,22,93.58564862104188,2.2160163432073574,6.980632752743321,5.4835546475995915,1.0056230847803889,3.5000000000000036,15.956077630234933,0.6363636363636364
3.8469387755102042,3.0,2.027122424221629,5.444444444444445,4.0,4.336181400241746,1.4183673469387754,1.0,0.879743346011861,98,68,0.6938775510204082,409,18,81.31501133786851,3.270068027210886,7.793537801064561,7.0757369614512475,-0.5886961451247181,1.3832653061224498,18.709750566893426,0.7222222222222222
3.6417910447761193,3.0,1.9190183996067514,11.166666666666666,11.5,4.245913067618999,1.1243781094527363,1.0,0.3856283059716637,201,126,0.6268656716417911,787,18,100.37844527363185,2.0326616915422875,5.82211442006289,5.262686567164179,1.3061691542288543,2.962985074626861,19.12686567164179,0.8888888888888888
3.9523809523809526,4.0,2.0011334656619706,5.653846153846154,3.5,4.747001545042835,1.3673469387755102,1.0,0.8336595224438914,147,104,0.7074829931972789,627,26,85.41879513343801,2.749693877551021,7.32110970712323,6.071062271062272,0.01263736263736348,2.2046258503401326,16.538199895342753,0.6153846153846154
