Material Index,Materials Difficulty,Questions Numbers,Topics
279,1.4,2,2
280,2.4200000000000004,3,0
281,2.43,3,4
282,1.41,2,4
283,-0.91,1,3
284,-1.5399999999999998,1,4
285,2.4400000000000004,3,0
286,3.4600000000000004,4,2
287,-2.78,1,4
288,1.4200000000000002,2,0
289,2.45,3,4
290,-1.5299999999999998,1,4
291,-0.9,1,0
292,2.4600000000000004,3,4
293,-1.5199999999999998,1,4
294,-1.5099999999999998,1,4
295,1.4300000000000002,2,4
296,-2.0,1,4
297,-0.89,1,2
298,-1.99,1,0
299,-1.98,1,4
300,2.47,3,2
301,2.4800000000000004,3,4
302,-0.88,1,0
303,-1.97,1,0
304,2.49,3,4
305,1.4400000000000002,2,0
306,2.0,3,0
307,-0.87,1,3
308,3.47,4,3
309,2.01,3,0
310,-2.77,1,3
311,3.4800000000000004,3,2
312,0.3100000000000001,1,4
313,3.49,4,4
314,3.0,3,3
315,3.01,4,0
316,2.02,1,0
317,0.3200000000000001,1,4
318,-1.96,1,4
319,2.03,3,4
320,-0.86,1,4
321,0.3300000000000001,1,0
322,-2.76,1,4
323,-0.85,1,4
324,-0.84,1,4
325,-2.75,1,0
326,2.04,4,2
327,3.02,4,4
328,3.03,4,4
329,1.4500000000000002,2,3
330,-1.95,1,0
331,2.05,3,4
332,-0.83,1,1
333,1.4600000000000002,4,0
334,-1.94,1,0
335,-0.82,1,1
336,-2.74,1,4
337,-0.8099999999999999,1,0
338,2.06,3,3
339,-0.7999999999999999,1,4
340,3.04,4,0
341,3.05,4,3
342,-1.93,1,4
343,0.3400000000000001,1,4
344,2.07,3,2
345,2.08,4,0
346,-1.92,1,4
347,3.06,5,3
348,0.3500000000000001,1,4
349,-2.73,1,4
350,1.4700000000000002,2,4
351,-0.7899999999999999,1,2
352,-0.7799999999999999,1,4
353,-0.7699999999999999,1,2
354,0.3600000000000001,1,0
355,-0.7599999999999999,1,0
356,1.4800000000000002,2,0
357,1.4900000000000002,2,1
358,-0.75,1,4
359,3.07,4,2
360,-2.72,1,0
361,3.08,4,2
362,-0.74,1,4
363,-1.91,1,0
364,3.09,4,4
365,3.1,4,2
366,0.3700000000000001,1,1
367,-0.73,1,4
368,2.09,3,4
369,-0.72,1,3
370,-1.9,1,4
371,1.0,2,4
372,-0.71,1,1
373,-0.7,1,3
374,1.01,2,3
375,-2.71,1,4
376,-1.89,1,4
377,-0.69,1,0
378,-1.88,1,2
379,2.1,3,0
380,0.3800000000000001,1,0
381,-0.6799999999999999,1,4
382,-1.87,1,0
383,-1.86,1,0
384,-2.7,1,1
385,-2.69,1,3
386,-1.85,1,0
387,1.02,2,4
388,2.11,3,0
389,1.03,2,4
390,-0.6699999999999999,1,2
391,-2.68,1,1
392,1.04,3,0
393,-2.67,1,4
394,0.3900000000000002,1,4
395,1.05,2,4
396,1.06,2,0
397,-1.84,1,4
398,2.12,3,4
399,-0.6599999999999999,1,4
400,-0.6499999999999999,1,0
401,-1.83,1,4
402,0.4000000000000002,1,0
403,3.11,4,4
404,-2.66,1,4
405,-0.6399999999999999,1,4
406,-0.6299999999999999,1,3
407,0.4100000000000002,1,1
408,3.12,4,0
409,-0.6199999999999999,1,3
410,-1.82,1,0
411,1.07,2,0
412,1.08,2,4
413,-0.6099999999999999,1,4
414,-0.5999999999999999,1,0
415,3.13,4,2
416,2.13,3,0
417,2.14,3,0
418,-1.81,1,0
419,-2.65,1,4
420,0.4200000000000002,1,4
421,3.14,4,4
422,0.4300000000000002,1,3
423,-1.8,1,0
424,-1.79,1,0
425,-1.78,1,3
426,0.4400000000000002,1,0
427,0.4500000000000002,1,0
428,1.09,2,4
429,-2.64,1,2
430,2.15,3,4
431,0.4600000000000002,1,4
432,2.16,4,4
433,-0.5899999999999999,1,0
434,-1.77,1,4
435,0.4700000000000002,1,4
436,2.17,3,0
437,3.15,4,4
438,1.1,2,4
439,2.18,3,4
440,0.4800000000000002,1,1
441,1.11,2,4
442,0.4900000000000002,1,1
443,2.19,3,4
444,1.12,2,4
445,3.16,4,2
446,0.0,1,0
447,0.01,1,4
448,3.17,3,3
449,2.2,3,0
450,-1.76,1,4
451,0.02,1,4
452,2.21,3,4
453,2.22,3,1
454,1.13,2,0
455,3.18,4,4
456,-0.5799999999999998,1,1
457,-0.5699999999999998,1,3
458,0.03,1,3
459,-1.75,1,4
460,3.19,4,4
461,3.2,4,4
462,1.14,2,3
463,2.23,2,0
464,2.24,3,2
465,3.21,4,4
466,-0.5599999999999998,1,4
467,-1.74,1,0
468,-0.5499999999999998,1,0
469,-2.63,1,3
470,2.25,3,4
471,-1.73,1,1
472,-0.5399999999999998,1,4
473,-0.5299999999999998,1,0
474,1.15,2,4
475,-1.72,1,3
